,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Feature
143,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_O_16
144,-4.0,91,0.006527977044476327,82,9,0.0989010989010989,-1.2355086489378997,0.018299913210004973,0.00215226759385521,TRD_O_16
145,-5.0,73,0.005236728837876614,71,2,0.0273972602739726,0.12452937761543659,7.663341050043446e-05,9.572991536670053e-06,TRD_O_16
146,-2.0,13,0.0009325681492109039,13,0,0.0,0.0,0.0,0.0,TRD_O_16
147,"(-1.0, 95.50)",1011,0.07252510760401722,1008,3,0.002967359050445104,2.3721078410972707,0.1604881944086563,0.016379223113283794,SP_B2_21
148,"[95.50, 99.50)",844,0.06054519368723099,839,5,0.005924170616113744,1.6777694751671728,0.08473711569541578,0.009501986346973829,SP_B2_21
149,"[99.50, 9998.50)",3754,0.2692969870875179,3723,31,0.008257858284496537,1.3432945505216374,0.27358650991686995,0.03183879537743818,SP_B2_21
150,"[9998.50, inf)",8290,0.5946915351506457,7898,392,0.047285886610373945,-0.44190031680980146,0.14355816243541875,0.017800173606015546,SP_B2_21
151,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,SP_B2_21
152,"(-1.0, 10.50)",2782,0.19956958393113342,2736,46,0.01653486700215672,0.6406075633874124,0.06137219512378455,0.00754298214229001,TRD_P_11
153,"[10.50, 78.50)",4572,0.32797704447632714,4509,63,0.013779527559055118,0.8256926331636176,0.15490471704370634,0.018831133742640678,TRD_P_11
154,"[78.50, inf)",1868,0.1340028694404591,1853,15,0.008029978586723769,1.3715077063172165,0.14039442726533458,0.01629146381667009,TRD_P_11
155,-2.0,1752,0.12568149210903873,1609,143,0.08162100456621005,-1.0244798021334574,0.217887144553846,0.026104016513353263,TRD_P_11
156,-3.0,2549,0.18285509325681493,2390,159,0.062377402903099254,-0.7348588761606085,0.141085865586258,0.017249330221584903,TRD_P_11
157,-4.0,376,0.02697274031563845,371,5,0.013297872340425532,0.861760831307401,0.01366946111481687,0.0016576992461995836,TRD_P_11
158,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_P_11
159,"(-1.0, 47.50)",8614,0.6179340028694404,8473,141,0.016368702112839563,0.650876706954362,0.19530552536338225,0.023991182573687007,VM01_SP_VM2_23
160,"[47.50, 84.50)",2438,0.17489239598278336,2380,58,0.02378999179655455,0.26940943725316746,0.011209608898712687,0.0013969788811178004,VM01_SP_VM2_23
161,"[84.50, inf)",1141,0.08185078909612625,1049,92,0.08063102541630149,-1.0111992875186764,0.13732606163813885,0.016469865937375743,VM01_SP_VM2_23
162,-2.0,1706,0.12238163558106169,1566,140,0.08206330597889801,-1.0303658649244896,0.2152467963060744,0.025775448808340234,VM01_SP_VM2_23
163,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,VM01_SP_VM2_23
164,"(-1.0, 94.50)",1554,0.1114777618364419,1418,136,0.08751608751608751,-1.1006554975099125,0.2317740365596242,0.027592564894281572,SP_G_37
165,"[94.50, 122.50)",1275,0.09146341463414634,1193,82,0.06431372549019608,-0.7674961440322705,0.07824141536836993,0.009546988747885697,SP_G_37
166,"[122.50, 143.50)",1133,0.08127690100430417,1081,52,0.04589585172109444,-0.41060521980815246,0.016682448700463696,0.0020707794877115517,SP_G_37
167,"[143.50, 159.50)",936,0.06714490674318507,906,30,0.03205128205128205,-0.037161394485109245,9.43590336643935e-05,1.1794200573024527e-05,SP_G_37
168,"[159.50, 206.50)",3134,0.2248206599713056,3067,67,0.021378430121250798,0.378759225857352,0.02711211303789601,0.0033689007014453334,SP_G_37
169,"[206.50, 269.50)",3113,0.2233142037302726,3065,48,0.015419209765499518,0.711598518596487,0.08220163380521628,0.010063753545039134,SP_G_37
170,"[269.50, inf)",2741,0.1966284074605452,2725,16,0.005837285662167092,1.6926316659916294,0.2785976998579832,0.03118461936266273,SP_G_37
171,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,SP_G_37
172,-2.0,13,0.0009325681492109039,13,0,0.0,0.0,0.0,0.0,SP_G_37
173,[2],8286,0.5944045911047345,8180,106,0.012792662321988897,0.9010050166187922,0.32398569878799294,0.03918163827702861,E4_Q_17
174,[6],2744,0.19684361549497847,2648,96,0.03498542274052478,-0.12779159327687095,0.003414635995980765,0.0004265393022399276,E4_Q_17
175,[1 5 4 7 8 3],2910,0.20875179340028693,2681,229,0.07869415807560137,-0.9847801841842139,0.327796118383605,0.03939515305276698,E4_Q_17
176,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,E4_Q_17
177,"(-999996.0, 39.50)",1652,0.11850789096126256,1644,8,0.004842615012106538,1.8804427150703562,0.19393976360144677,0.021202823050129858,TRD_C_07
178,"[39.50, 61.50)",1338,0.09598278335724533,1327,11,0.008221225710014948,1.347777442667903,0.09799523648737826,0.011399070218403338,TRD_C_07
179,"[61.50, 85.50)",1488,0.10674318507890962,1465,23,0.015456989247311828,0.7091129866560841,0.03905932742002875,0.0047826255311078526,TRD_C_07
180,"[85.50, inf)",1044,0.07489239598278336,1002,42,0.040229885057471264,-0.2729196555044915,0.006352211018098733,0.0007915712199570452,TRD_C_07
181,-999997.0,6625,0.4752510760401722,6421,204,0.03079245283018868,0.004205835083898712,8.39017427403523e-06,1.0487710112118192e-06,TRD_C_07
182,-999998.0,1752,0.12568149210903873,1609,143,0.08162100456621005,-1.0244798021334574,0.217887144553846,0.026104016513353263,TRD_C_07
183,-999999.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_C_07
184,-999996.0,0,0.0,0,0,0.0,0.0,0.0,0.0,TRD_C_07
185,"(-1.0, 0.50)",7152,0.5130559540889527,7054,98,0.013702460850111857,0.8313793132594922,0.2450841489782932,0.02978263287415195,TRD_C_03
186,"[0.50, 7.50)",2704,0.193974175035868,2615,89,0.032914201183431954,-0.06462031209904984,0.0008350150000685527,0.00010435871815940795,TRD_C_03
187,"[7.50, inf)",1593,0.1142754662840746,1529,64,0.040175768989328314,-0.27151719629654325,0.009586749791288818,0.0011946762472261688,TRD_C_03
188,-3.0,2427,0.17410329985652798,2247,180,0.07416563658838071,-0.9206088975708147,0.23134888271553705,0.027938799708400207,TRD_C_03
189,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_C_03
190,-2.0,13,0.0009325681492109039,13,0,0.0,0.0,0.0,0.0,TRD_C_03
191,-4.0,10,0.0007173601147776184,10,0,0.0,0.0,0.0,0.0,TRD_C_03
192,"(-1.0, 222.50)",3830,0.2747489239598278,3773,57,0.014882506527415143,0.7475711332638273,0.10992637644231425,0.013429511334646715,TRD_B_20
193,"[222.50, 868.50)",982,0.07044476327116213,967,15,0.015274949083503055,0.7211449754851511,0.026523080572450047,0.0032453623304638125,TRD_B_20
194,"[868.50, inf)",745,0.05344332855093257,719,26,0.0348993288590604,-0.12523849916636864,0.0008893247499060983,0.00011109300079199217,TRD_B_20
