Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Feature
-3.0,6212,0.4229878796132371,5932,280,0.04507405022537025,0.6129397983791689,0.1233367981108941,0.015180205210494326,TRD_A_20
-1.0,43,0.0029279586000272367,41,2,0.046511627906976744,0.5800375844349581,0.0007748016477522533,9.5514948628098e-05,TRD_A_20
"[0, 1.50)",2101,0.1430614190385401,1812,289,0.13755354593050928,-0.6046275032189119,0.06735955901449173,0.008293989409006261,TRD_A_08
"[1.50, 2.50)",2299,0.15654364701075854,2056,243,0.1056981296215746,-0.3049311184748973,0.016546252008851736,0.0020603054460888205,TRD_A_08
"[2.50, 3.50)",2314,0.1575650279177448,2146,168,0.07260155574762317,0.10700964207798025,0.0017251334035498225,0.0002155388457118759,TRD_A_08
"[3.50, 4.50)",2046,0.13931635571292386,1931,115,0.056207233626588464,0.38047385235585995,0.0172110049453583,0.0021384924072311105,TRD_A_08
"[4.50, 5.50)",1654,0.11262426801035,1565,89,0.05380894800483676,0.42661743153270937,0.01716397994786572,0.0021293738861128952,TRD_A_08
"[5.50, 6.50)",1191,0.08109764401470788,1134,57,0.04785894206549118,0.5500679147437428,0.019536118549455344,0.002411686007447892,TRD_A_08
"[6.50, 8.50)",1315,0.08954105951246084,1275,40,0.030418250950570342,1.0214347017691856,0.06169140429741358,0.007392760618523368,TRD_A_08
"[8.50, inf)",855,0.05821871169821599,835,20,0.023391812865497075,1.2913121495874602,0.057874404098030595,0.006770164982936135,TRD_A_08
-2.0,868,0.05910390848427073,714,154,0.1774193548387097,-0.9064569417834494,0.07069228208080364,0.008545914332723446,TRD_A_08
